city,category,name,text
lahore,food,Butt Karahi,Butt Karahi in lahore - food
lahore,food,Phajja Siri Paye,Phajja Siri Paye in lahore - food
lahore,food,Haveli Restaurant,Haveli Restaurant in lahore - food
lahore,hotels,Avari Lahore,Avari Lahore in lahore - hotels
lahore,hotels,Pearl Continental,Pearl Continental in lahore - hotels
lahore,hotels,Hotel One,Hotel One in lahore - hotels
lahore,places,Badshahi Mosque,Badshahi Mosque in lahore - places
lahore,places,Lahore Fort,Lahore Fort in lahore - places
lahore,places,Minar-e-Pakistan,Minar-e-Pakistan in lahore - places
karachi,food,Kolachi,Kolachi in karachi - food
karachi,food,Cafe Flo,Cafe Flo in karachi - food
karachi,food,BBQ Tonight,BBQ Tonight in karachi - food
karachi,hotels,Marriott,Marriott in karachi - hotels
karachi,hotels,M̦venpick,M̦venpick in karachi - hotels
karachi,hotels,Avari Towers,Avari Towers in karachi - hotels
karachi,places,Clifton Beach,Clifton Beach in karachi - places
karachi,places,Frere Hall,Frere Hall in karachi - places
karachi,places,Mazar-e-Quaid,Mazar-e-Quaid in karachi - places
islamabad,food,Monal,Monal in islamabad - food
islamabad,food,Street 1 Cafe,Street 1 Cafe in islamabad - food
islamabad,food,Des Pardes,Des Pardes in islamabad - food
islamabad,hotels,Serena Hotel,Serena Hotel in islamabad - hotels
islamabad,hotels,Islamabad Marriott,Islamabad Marriott in islamabad - hotels
islamabad,hotels,Shangri-La,Shangri-La in islamabad - hotels
islamabad,places,Faisal Mosque,Faisal Mosque in islamabad - places
islamabad,places,Daman-e-Koh,Daman-e-Koh in islamabad - places
islamabad,places,Pakistan Monument,Pakistan Monument in islamabad - places
